Titanic Victims
##################################################################################
Data Source: https://www.encyclopedia-titanica.org/
Data Extracted: December 2018, by Michael Graber
==================================================================================
Name,Age,Class/Dept,Ticket,Joined,Job,Boat [Body]
"ABBING, Mr Anthony",41,3rd Class Passenger,5547,Southampton,Blacksmith,
,,,£7 11s,,,
"ABBOTT, Mr Rossmore Edward",16,3rd Class Passenger,CA2673,Southampton,Jeweller,[190]
,,,£20 5s,,,
"ABBOTT, Mr Eugene Joseph",13,3rd Class Passenger,CA2673,Southampton,Scholar,
"HALE, Mr Reginald",31,2nd Class Passenger,250653,Southampton,Gardener,[75]
,,,£13,,,
"HALL, Mr Frank Alfred James",40,Victualling Crew,,Southampton,Scullion,
"HALL, Mr J.",32,Engineering Crew,,Southampton,Fireman,
"HALLETT, Mr George Alexander",23,Engineering Crew,,Southampton,Fireman,
"HAMBLYN, Mr Ernest William",47,Victualling Crew,,Southampton,2nd Class Bedroom Steward,
"HAMILTON, Mr Ernest",25,Victualling Crew,,Belfast,Assistant Smoke Room Steward (1st class),
"HAMPE, Mr Léon Jérome",19,3rd Class Passenger,345769,Southampton,Painter & Decorator,
,,,£9 10s,,,
"HANDS, Mr Bernard",54,Engineering Crew,,Southampton,Fireman,
"ḤANNĀ AL-HĀJ, MrMansūr",35,3rd Class Passenger,2693,Cherbourg,,[188]
,,,£7 4s 7d,,,
"HANNAM, Mr George",30,Engineering Crew,,Southampton,Fireman,
"HANSEN, Mr Henry Damsgaard",20,3rd Class Passenger,350029,Southampton,Manufacturer,[69]
,,,£7 17s 1d,,,
"HANSEN, Mr Jens Henrik Marius Juul",25,3rd Class Passenger,350025,Southampton,Farmer,
,,,£7 17s 1d,,,
"HANSEN, Mr Claus Peter",41,3rd Class Passenger,350026,Southampton,Barber,
,,,£14 2s 2d,,,
"HARBECK, Mr William H.",45,2nd Class Passenger,248746,Southampton,Cinematographer,[35]
,,,£13,,,
"HARDING, Mr Alfred John",21,Victualling Crew,,Southampton,Assistant Pantry Steward (2nd class),
"HARGADON, Miss Kate",17,3rd Class Passenger,30631,Queenstown,Cook,
,,,£7 14s 8d,,,
"HARKNETT, Miss Alice Phoebe",21,3rd Class Passenger,6609,Southampton,Domestic Kitchen Servant,
,,,£7 11s,,,
"HARPER, Rev. John",39,2nd Class Passenger,248727,Southampton,Priest / Minister,
,,,£33,,,
"HARRINGTON, Mr Charles Henry",37,1st Class Passenger,113796,Southampton,Servant,
,,Servant,£42 8s,,,
"HARRIS, Mr Clifford Henry",17,Victualling Crew,,Southampton,Bell Boy,
"HARRIS, Mr Amos",24,Engineering Crew,,Southampton,Trimmer,
"HARRIS, Mr Edward Matthew",17,Victualling Crew,,Southampton,Assistant Pantryman Steward (1st Class),
"HARRIS, Mr Edward John",29,Engineering Crew,,Southampton,Fireman,
"HARRIS, Mr Charles William",19,Victualling Crew,,Southampton,Saloon Steward (2nd class),
"HARRIS, Mr Walter",45,2nd Class Passenger,14208,Southampton,,
,,,£10 10s,,,
"HARRIS, Mr Henry Birkhardt",45,1st Class Passenger,36973,Southampton,Theatre Manager,
,,,£83 9s 6d,,,
"HARRISON, Mr William Henry",45,1st Class Passenger,112059,Southampton,Secretary,[110]
,,Servant,,,,
"HARRISON, Mr Norman E.",38,Engineering Crew,,Belfast,Junior 2nd. Engineer,
"HART, Mr James",54,Engineering Crew,,Southampton,Fireman,
"HART, Mr Benjamin",47,2nd Class Passenger,13529,Southampton,Builder,
,,,£26 5s,,,
"HART, Mr Henry",29,3rd Class Passenger,394140,Queenstown,General Labourer,
,,,£6 17s 2d,,,
"HARTLEY, Mr Wallace Henry",33,2nd Class Passenger,250654,Southampton,Musician,[224]
,,Musician,,,,
"HARVEY, Mr Herbert Gifford",34,Engineering Crew,,Belfast,Junior Assistant 2nd. Engineer,
"HATCH, Mr Hugh",21,Victualling Crew,,Southampton,Scullion,
"HAWKESWORTH, MrWilliam Walter",43,Victualling Crew,,Southampton,Deck Steward (1st class),
"HAWKESWORTH, MrJames",52,Victualling Crew,,Southampton,Saloon Steward (2nd class),
"HAYS, Mr Charles Melville",55,1st Class Passenger,12749,Southampton,Businessman,[307]
,,,£93 10s,,,
"HAYTER, Mr Arthur",44,Victualling Crew,,Belfast,Bed Room Steward,[25]
"HEAD, Mr Christopher",42,1st Class Passenger,113038,Southampton,Politician,
,,,£42 10s,,,
"HEAD, Mr Alfred",24,Engineering Crew,,Southampton,Fireman,
"HEGARTY, Miss Hanora",20,3rd Class Passenger,365226,Queenstown,,
,,,£6 15s,,,
"HEINEN, Mr Joseph Dominichus",30,Victualling Crew,,Southampton,Saloon Steward (2nd class),
"HEININEN, Miss Wendla Maria",23,3rd Class Passenger,3101290,Southampton,Servant,[8]
,,,£7 18s 6d,,,
"HENDEKOVIĆ, Mr Ignjac",30,3rd Class Passenger,349243,Southampton,General Labourer,[306]
,,,£7 17s 11d,,,
"HENDY, Mr Edward Martin",39,Victualling Crew,,Belfast,Saloon Steward,
"HENRIKSSON, Miss Jenny Lovisa",28,3rd Class Passenger,347086,Southampton,Servant,[3]
,,,£7 15s 6d,,,
"HENRY, Miss Bridget",22,3rd Class Passenger,382649,Queenstown,,
,,,£7 15s,,,
"HENSFORD, Mr Herbert George Ernest",26,Victualling Crew,,Southampton,Assistant Butcher,
"HERMAN, Mr Samuel",50,2nd Class Passenger,220845,Southampton,Farmer,
,,,£65,,,
"HESKETH, Mr John Henry",33,Engineering Crew,,Belfast,Second Engineer (refrigeration),
"HESLIN, Mr James",51,Engineering Crew,,Southampton,Trimmer,
"HEWITT, Mr Thomas",37,Victualling Crew,,Belfast,Bed Room Steward (1st class),[168]
"HICKMAN, Mr Lewis",30,2nd Class Passenger,14879,Southampton,,[256]
,,,£73 10s,,,
"HICKMAN, Mr Stanley George",21,2nd Class Passenger,14879,Southampton,,
,,,£73 10s,,,
"HICKMAN, Mr Leonard Mark",24,2nd Class Passenger,14879,Southampton,,
,,,£73 10s,,,
"HILL, Mr Henry Parkinson",37,Victualling Crew,,Southampton,Steward,
"HILL, Mr James",25,Engineering Crew,,Southampton,Trimmer,
"HILL, Mr James Colston",43,Victualling Crew,,Belfast,1st Class Bedroom Steward,[152]
"HILLIARD, Mr Herbert Henry",44,1st Class Passenger,17463,Southampton,Buyer,
,,,£51 17s 3d,,,
"HILTUNEN, Miss Martta Maria",18,2nd Class Passenger,250650,Southampton,,
,,,£13,,,
"HINCKLEY, Mr George Herbert",40,Victualling Crew,,Southampton,Bathroom Steward (1st Class),[66]
"HINE, Mr William Edward",36,Victualling Crew,,Southampton,3rd Baker,
"HINTON, Mr Stephen William",30,Engineering Crew,,Southampton,Trimmer,[85]
"HIPKINS, Mr William Edward",55,1st Class Passenger,680,Southampton,Manufacturer,
,,,£50,,,
"HISCOCK, Mr Sydney George",25,Victualling Crew,,Southampton,Plate Steward,
"HOARE, Mr Leonard James",18,Victualling Crew,,Belfast,Saloon Steward,
"HOCKING, Mr Richard George",23,2nd Class Passenger,29104,Southampton,Baker,
,,,£11 10s,,,
"HOCKING, Mr Samuel James Metcalfe",36,2nd Class Passenger,242963,Southampton,Painter & Decorator,
,,,£13,,,
"HODGE, Mr Charley",29,Engineering Crew,,Belfast,Senior Assistant 3rd. Engineer,
"HODGES, Mr W.",26,Engineering Crew,,Southampton,Fireman,
"HODGES, Mr Henry Price",50,2nd Class Passenger,250643,Southampton,Musical Instrument Vendor,[149]
,,,£13,,,
"HODGKINSON, MrLeonard",46,Engineering Crew,,Belfast,Senior 4th. Engineer,
"HOGG, Mr Charles William",43,Victualling Crew,,Southampton,1st Class Bedroom Steward,
"HOGUE, Mr E.",22,Victualling Crew,,Southampton,Plate Steward,
"HOLD, Mr Stephen",44,2nd Class Passenger,26707,Southampton,Clerk,
,,,£26,,,
"HOLLAND, Mr Thomas",28,Victualling Crew,,Belfast,Reception Steward,
"HOLLOWAY, Mr Sidney",24,Victualling Crew,,Southampton,Assistant clothes presser steward,[273]
"HOLM, Mr John Fredrik Alexander",43,3rd Class Passenger,7075,Southampton,Farmer,
,,,£6 9s,,,
"HOLMAN, Mr Harry",29,Deck Crew,,Belfast,Able Seaman,
"HOLTEN, Mr Johan Martin",18,3rd Class Passenger,4001,Southampton,Seaman,
,,,£22 10s 6d,,,
"HOLVERSON, MrAlexander Oskar",42,1st Class Passenger,113789,Southampton,,[38]
,,,£52,,,
"HOOD, Mr Ambrose",21,2nd Class Passenger,14879,Southampton,,
,,,£73 10s,,,
"HOPGOOD, Mr Roland John C.",29,Engineering Crew,,Southampton,Fireman,
"HOPKINS, Mr Frederick William",14,Victualling Crew,,Southampton,Plate Steward,
"HORGAN, Mr John",22,3rd Class Passenger,370377,Queenstown,General Labourer,
,,,£7 15s,,,
"HOSGOOD, Mr Richard William",22,Engineering Crew,,Southampton,Fireman,[242]
,,Substitute Crew,,,,
"HOSKING, Mr George Fox",36,Engineering Crew,,Belfast,Senior 3rd. Engineer,
"HOUSE, Mr William John",38,Victualling Crew,,Belfast,Saloon Steward (1st class),
"HOWARD, Mr Benjamin",63,2nd Class Passenger,24065,Southampton,Retired,
,,,£26,,,
"HOWARD, Mrs Ellen Truelove",61,2nd Class Passenger,24065,Southampton,,
,,,£26,,,
"HOWELL, Mr Arthur Albert",31,Victualling Crew,,Belfast,Saloon Steward (1st class),[319]
"HOYT, Mr William Fisher",43,1st Class Passenger,17600,Cherbourg,Businessman,14
,,,£30 13s 11d,,,
"HUGHES, Mr William Thomas",34,Victualling Crew,,Southampton,Assistant Second Steward (1st Class),
"HUMBLEN, Mr Adolf Mathias Nicolai Olsen",42,3rd Class Passenger,348121,Southampton,Farmer,[120]
,,,£7 13s,,,
"HUMBY, Mr Frederick",17,Victualling Crew,,Southampton,Plate Steward (2nd Class),
"HUME, Mr John Law",21,2nd Class Passenger,250654,Southampton,Musician,[193]
,,Musician,,,,
"HUMPHREYS, MrHumphrey",31,Victualling Crew,,Southampton,"Assistant Saloon Steward, 2nd Class",
"HUNT, Mr George Henry",34,2nd Class Passenger,1585,Southampton,Gardener,
,,,£12 5s 6d,,,
"HUNT, Mr Tom",27,Engineering Crew,,Southampton,Fireman,
"HURST, Mr Charles John",40,Engineering Crew,,Southampton,Fireman,
"HUTCHINSON, Mr John Hall",28,Deck Crew,,Belfast,Carpenter / Joiner,
"HUTCHINSON, Mr James",31,Victualling Crew,,Southampton,Vegetable Cook,[250]
"IBRĀHĪM, Mr Husayn Mahmūd Husayn",11,3rd Class Passenger,2699,Cherbourg,,
,,,£18 15s 9d,,,
"IBRĀHĪM-SHAWAH, MrYūsuf Hānī",33,3rd Class Passenger,2627,Cherbourg,,
,,,£14 9s 2d,,,
"IDE, Mr Harry John",31,Victualling Crew,,Southampton,1st Class Bedroom Steward,
"ILIEV, Mr Ilyo",32,3rd Class Passenger,349220,Southampton,General Labourer,
,,,£7 17s 11d,,,
"ILMAKANGAS, Miss Pieta Sofia",25,3rd Class Passenger,3101271,Southampton,Servant,
,,,£7 18s 6d,,,
"ILMAKANGAS, Miss Ida Livija",17,3rd Class Passenger,3101270,Southampton,Servant,
,,,£7 18s 6d,,,
"INGRAM, Mr George",19,Engineering Crew,,Southampton,Trimmer,[204]
"INGROUILLE, Mr Henry",21,Victualling Crew,,Southampton,Steward,
"INGS, Mr William Ernest",20,Victualling Crew,,Southampton,Scullion,
"INSTANCE, Mr Thomas",31,Engineering Crew,,Southampton,Fireman,
"ISHAM, Miss Ann Elizabeth",50,1st Class Passenger,17595,Cherbourg,,
,,,£28 14s 3d,,,
"IVYANOV, Mr Kostya",20,3rd Class Passenger,349201,Southampton,General Labourer,
,,,£7 17s 11d,,,
"JABBUR (ZABOUR), MissThamine",19,3rd Class Passenger,2665,Cherbourg,Housekeeper,
,,,£14 9s 1d,,,
"JABBUR (ZABOUR), MissHileni",16,3rd Class Passenger,2665,Cherbourg,Housekeeper,[328]
,,,£14 9s 1d,,,
"JACKOPSON, Mr John Henry",30,Engineering Crew,,Southampton,Fireman,
"JACKSON, Mr Cecil",22,Victualling Crew,,Belfast,Assistant boots steward (1st class),
"JACOBSEN, Mrs Gunhilde Oline 'Lena'",63,3rd Class Passenger,65305,Southampton,,
,,,£8 2s 3d,,,
"JACOBSOHN, Mr Sidney Samuel",42,2nd Class Passenger,243847,Southampton,Lawyer,
,,,£27,,,
"JAGO, Mr Joseph",59,Engineering Crew,,Southampton,Greaser,
"JAILLET, Mr Henri Marie",38,Restaurant Staff,,Southampton,Pastry Cook (Restaurant),[277]
"JAMES, Mr Thomas",27,Engineering Crew,,Southampton,Fireman,
"JANAWAY, Mr William Frank",35,Victualling Crew,,Belfast,Bed Room Steward,
"JANIN, Mr Claude Marie",29,Restaurant Staff,,Southampton,Soup Cook,
"JARDIM, Mr José Neto",21,3rd Class Passenger,3101305,Southampton,General Labourer,
,,,£7 1s,,,
"JARVIS, Mr Denzil John",46,2nd Class Passenger,237565,Southampton,Engineer,
,,,£15,,,
"JEFFERY, Mr William Alfred",28,Restaurant Staff,,Southampton,A la carte restaurant controller,
"JEFFERYS, Mr Clifford Thomas",24,2nd Class Passenger,31029,Southampton,Granite Cutter,
,,,£31 10s,,,
"JEFFERYS, Mr Ernest Wilfred",21,2nd Class Passenger,31029,Southampton,Granite Cutter,
,,,£31 10s,,,
"JENKIN, Mr Stephen Curnow",32,2nd Class Passenger,33111,Southampton,Miner,
,,,£10 10s,,,
"JENNER, Mr Thomas Henry (Harry)",55,Victualling Crew,,Belfast,Saloon Steward,
"JENSEN, Mr Hans Peder",20,3rd Class Passenger,350050,Southampton,,
,,,£7 17s 1d,,,
"JENSEN, Mr Charles Valdemar",24,Victualling Crew,,Southampton,Saloon Steward,
"JENSEN, Mr Svend Lauritz",16,3rd Class Passenger,350047,Southampton,Farmer,
,,,£7 17s 1d,,,
"JENSEN, Mr Niels Rasmus",48,3rd Class Passenger,350048,Southampton,Farmer,
,,,£7 1s 1d,,,
"JOAS, Mr N.",39,Engineering Crew,,Southampton,Fireman,
"JOHANSON, Mr Jakob Alfred",34,3rd Class Passenger,3101264,Southampton,General Labourer,[143]
,,,£6 9s 11d,,,
"JOHANSSON, Mr Karl Johan",31,3rd Class Passenger,347063,Southampton,,
,,,£7 15s 6d,,,
"JOHANSSON, Mr Nils",30,3rd Class Passenger,347467,Southampton,General Labourer,
,,,£7 17s 1d,,,
"JOHANSSON, Mr Erik",22,3rd Class Passenger,350052,Southampton,General Labourer,[156]
,,,£7 15s 11d,,,
"JOHANSSON, Mr Gustaf Joël",33,3rd Class Passenger,7540,Southampton,,[285]
,,,£8 13s 1d,,,
"JOHNSON, Mr Malkolm Joackim",33,3rd Class Passenger,347062,Southampton,General Labourer,[37]
,,,£7 15s 6d,,,
"JOHNSON, Mr August",49,3rd Class Passenger,370160,Southampton,Seaman,
"JOHNSON, Mr William Cahoone Jr.",19,3rd Class Passenger,370160,Southampton,Seaman,
"JOHNSTON, MasterWilliam Andrew",8,3rd Class Passenger,6607,Southampton,,
,,,£23 9s,,,
"JOHNSTON, Mr Andrew Emslie",35,3rd Class Passenger,6607,Southampton,Plumber,
,,,£23 9s,,,
"JOHNSTON, MissCatherine Nellie",7,3rd Class Passenger,6607,Southampton,,
,,,£23 9s,,,
"JOHNSTON, Mrs Eliza",36,3rd Class Passenger,6607,Southampton,,
,,,£23 9s,,,
"JONES, Mr Harry Owen Glendower",36,Victualling Crew,,Southampton,Roast Cook,
"JONES, Mr Victor Reginald",20,Victualling Crew,,Southampton,Saloon Steward (1st class),
"JONES, Mr Charles Cresson",46,1st Class Passenger,694,Southampton,Estate Manager,[80]
,,,£26,,,
"JONES, Mr Albert Hugh Brabner",17,Victualling Crew,,Southampton,Saloon Steward (2nd class),
"JONES, Mr Arthur Ernest",37,Victualling Crew,,Southampton,Plate Steward (2nd Class),
"JÖNSSON, Mr Nils Hilding",27,3rd Class Passenger,350408,Southampton,General Labourer,
,,,£7 17s 1d,,,
"JOSEPH (SHAHIN), MrElias",39,3rd Class Passenger,2675,Cherbourg,,
,,,£7 4s 7d,,,
"JOUANNAULT, MrGeorges Jules",24,Restaurant Staff,,Southampton,Assistant Sauce Cook,
"JUKES, Mr Henry James",38,Engineering Crew,,Southampton,Greaser,
"JULIAN, Mr Henry Forbes",50,1st Class Passenger,113044,Southampton,Metallurgist,
,,,£26,,,
"JUPE, Mr Boykett Herbert",30,Engineering Crew,,Southampton,Electrician,[73]
"JUSSILA, Miss Katriina",20,3rd Class Passenger,4136,Southampton,Servant,
,,,£9 16s 10d,,,
"JUSSILA, Miss Mari Aina",21,3rd Class Passenger,4137,Southampton,Servant,
,,,£9 16s 10d,,,
"KALLIO, Mr Nikolai Erland",17,3rd Class Passenger,3101274,Southampton,General Labourer,
,,,£7 2s 6d,,,
"KALVIK, Mr Johannes Halvorsen",21,3rd Class Passenger,8475,Southampton,General Labourer,
,,,£8 8s 8d,,,
"KANTOR, Mr Sinai",34,2nd Class Passenger,244367,Southampton,,[283]
,,,£26,,,
"KARAJIĆ, Mr Milan",30,3rd Class Passenger,349246,Southampton,General Labourer,
,,,£7 17s 11d,,,
"KARLSSON, Mr Julius Konrad Eugen",33,3rd Class Passenger,347465,Southampton,Engineer,
,,,£7 17s 1d,,,
"KARLSSON, Mr Nils August",22,3rd Class Passenger,350060,Southampton,Farmer,
,,,£7 10s 5d,,,
"KARNES, Mrs Claire",22,2nd Class Passenger,13534,Southampton,,
,,,£21,,,
"KATAVELOS, Mr Vasilios G.",19,3rd Class Passenger,2682,Cherbourg,Farmer,[58]
,,,£7 4s 7d,,,
"KEANE, Mr Andrew",23,3rd Class Passenger,12460,Queenstown,Farm Labourer,
,,,£7 15s,,,
"KEANE, Mr Daniel",35,2nd Class Passenger,233734,Queenstown,,
,,,£12 7s,,,
"KEARL, Mr Charles Henry",44,Engineering Crew,,Southampton,Greaser,
"KEARL, Mr George Edward",25,Engineering Crew,,Southampton,Trimmer,
"KEEGAN, Mr James",38,Engineering Crew,,Southampton,Leading Fireman,
"KEEPING, Mr Edwin Herbert",33,1st Class Passenger,113503,Southampton,Servant,[45]
,,Servant,£211 10s,,,
"KELLAND, Mr Thomas",19,Victualling Crew,,Southampton,2nd class library steward,
"KELLY, Mr James",19,3rd Class Passenger,363592,Southampton,Painter & Decorator,
,,,£8 1s,,,
"KELLY, Mr James",44,Engineering Crew,,Southampton,Greaser,
"KELLY, Mr James",44,3rd Class Passenger,330911,Queenstown,Farm Labourer,[70]
,,,£7 16s 7d,,,
"KELLY, Mr William Patrick",23,Engineering Crew,,Belfast,Assistant Electrician,
"KEMP, Mr Thomas Hulman",43,Engineering Crew,,Belfast,Extra Assistant 4th Engineer (Refrigeration),
"KENNELL, Mr Charles",30,Victualling Crew,,Southampton,Hebrew Cook,
"KENT, Mr Edward Austin",58,1st Class Passenger,11771,Cherbourg,Architect,[258]
,,,£29 14s,,,
"KENYON, Mr Frederick Roland",41,1st Class Passenger,17464,Southampton,,
,,,£51 17s 3d,,,
"KENZLER, Mr August",44,Engineering Crew,,Belfast,Storekeeper,
"KERLEY, Mr William Thomas",28,Victualling Crew,,Southampton,Assistant Saloon Steward (2nd class),
"KERR, Mr Thomas Russell",26,Engineering Crew,,Southampton,Fireman,
"KETCHLEY, Mr Henry",36,Victualling Crew,,Belfast,Saloon Steward,
"KHALIL, Mrs Zahie",20,3rd Class Passenger,2660,Cherbourg,Farm Labourer,
,,,£14 9s 1d,,,
"KHALIL, Mr Betros",25,3rd Class Passenger,2660,Cherbourg,Farm Labourer,
,,,£14 9s 1d,,,
"KHALĪL 'ATTA ALLĀH, MrSulaymān",27,3rd Class Passenger,2672,Cherbourg,Farm Labourer,
,,,£7 4s 6d,,,
"KIERAN, Mr James William",35,Victualling Crew,,Southampton,Chief 3rd Class Steward,
"KIERAN, Mr Edgar Michael",34,Victualling Crew,,Southampton,Storekeeper,
"KIERNAN, Mr John Joseph",26,3rd Class Passenger,367227,Queenstown,General Labourer,
,,,£7 15s,,,
"KIERNAN, Mr Philip",22,3rd Class Passenger,367229,Queenstown,General Labourer,
,,,£7 15s,,,
"KILGANNON, Mr Thomas",21,3rd Class Passenger,36865,Queenstown,Farm Labourer,
,,,£7 14s 9d,,,
"KINCHENTEN, MrFrederick Charles",36,Engineering Crew,,Southampton,Greaser,
"KING, Mr Ernest Waldron",28,Victualling Crew,,Southampton,Clerk (1st class),[321]
"KING, Mr Alfred John Moffett",18,Victualling Crew,,Southampton,Lift Steward,[238]
"KING, Mr G.",20,Victualling Crew,,Southampton,Scullion,
"KING, Mr Thomas Walter",42,Deck Crew,,Southampton,Master-at-arms,
"KINGSCOTE, Mr William Ford",48,Victualling Crew,,Southampton,Saloon Steward (1st class),
"KINK, Mr Vincenz",26,3rd Class Passenger,315151,Southampton,Magazineer,
,,,£8 13s 3d,,,
"KINK, Miss Maria",23,3rd Class Passenger,315152,Southampton,,
,,,£8 13s 3d,,,
"KINSELLA, Mr Louis",30,Engineering Crew,,Southampton,Fireman,
,,Substitute Crew,,,,
"KIRKALDY, Mr Thomas Benjamin",35,Victualling Crew,,Southampton,Bed Room Steward,
"KIRKHAM, Mr James",43,Engineering Crew,,Southampton,Greaser,
"KIRKLAND, Fr Charles Leonard",71,2nd Class Passenger,219533,Queenstown,Priest / Minister,
,,,£12 7s,,,
"KITCHING, Mr Arthur Alfred",31,Victualling Crew,,Southampton,Saloon Steward (1st class),
"KLABER, Mr Herman",41,1st Class Passenger,113028,Southampton,Businessman,
,,,£26 11s,,,
"KLASÉN, Mr Klas Albin",18,3rd Class Passenger,350404,Southampton,Farm Labourer,
,,,£7 17s 1d,,,
"KLASÉN, Miss Gertrud Emilia",1,3rd Class Passenger,350405,Southampton,,
,,,£12 3s 8d,,,
"KLASÉN, Mrs Hulda Kristina Eugenia",36,3rd Class Passenger,350405,Southampton,Housewife,
,,,£12 3s 8d,,,
"KLEIN, Mr Herbert",34,Victualling Crew,,Southampton,Barber,
"KNIGHT, Mr Leonard George",21,Victualling Crew,,Southampton,Steward (3rd class),
"KNIGHT, Mr Robert",42,2nd Class Passenger,239855,Belfast,Fitter,
,,H&W Guarantee Group,,,,
"KOLEV, Mr Petr",36,3rd Class Passenger,349210,Southampton,General Labourer,
,,,£7 17s 11d,,,
"KOLEV, Mr Sotir",24,3rd Class Passenger,349209,Southampton,General Labourer,
,,,£7 17s 11d,,,
"KRAEFF, Mr Theodor",,3rd Class Passenger,349253,Cherbourg,General Labourer,
,,,£7 17s 11d,,,
"KRINS, Mr Georges Alexandre",23,2nd Class Passenger,250654,Southampton,Musician,
,,Musician,,,,
"KUTSCHER (LITHMAN), MrSimon",27,3rd Class Passenger,251,Southampton,Baker,
,,,£7 11s,,,
"KVILLNER, Mr Johan Henrik Johannesson",31,2nd Class Passenger,18723,Southampton,Mechanical Engineer,[165]
,,,£10 10s,,,
"LACEY, Mr Bertie William",19,Victualling Crew,,Southampton,"Assistant Saloon steward, 2nd Class",
"LAHHŪD ISHAQ MU'AWWAD, Mr Sarkīs",35,3rd Class Passenger,2624,Cherbourg,General Labourer,
,,,£7 4s 6d,,,
"LAHTINEN, Mrs Anna Amelia",34,2nd Class Passenger,250651,Southampton,,
,,,£26,,,
"LAHTINEN, Rev. William",35,2nd Class Passenger,250651,Southampton,Priest / Minister,
,,,£26,,,
"LAHY, Mr T.",41,Engineering Crew,,Southampton,Fireman,
"LAITINEN, Miss Kristina Sofia",38,3rd Class Passenger,4135,Southampton,Housekeeper,
,,,£9 11s 9d,,,
"LAKE, Mr William",46,Victualling Crew,,Belfast,Saloon Steward (1st class),
"LAM, Mr Len",23,3rd Class Passenger,1601,Southampton,Seaman,
,,,£56 9s 11d,,,
"LAMB, Mr John J.",31,2nd Class Passenger,240261,Queenstown,Jeweller,
,,,£10 14s 2d,,,
"LANE, Mr Albert Edward",33,Victualling Crew,,Southampton,Saloon Steward (1st class),
"LANE, Mr Patrick",16,3rd Class Passenger,7935,Queenstown,Farm Labourer,
,,,£7 15s,,,
"LAROCHE, Mr Joseph Philippe Lemercier",25,2nd Class Passenger,2123,Cherbourg,Engineer,
,,,£41 11s 7d,,,
"LARSSON, Mr August Viktor",29,3rd Class Passenger,7545,Southampton,General Labourer,
,,,£9 9s 8d,,,
"LARSSON, Mr Bengt Edvin",29,3rd Class Passenger,347067,Southampton,General Labourer,
,,,£7 15s 6d,,,
"LATIMER, Mr Andrew",55,Victualling Crew,,Belfast,Chief Steward,
"LAWRANCE, Mr Arthur",36,Victualling Crew,,Belfast,Saloon Steward (1st class),[90]
"LEADER, Mr Archibald",22,Victualling Crew,,Southampton,Confectioner,
"LEE, Mr H.",18,Engineering Crew,,Southampton,Trimmer,
"LEFEBVRE, Miss Ida",3,3rd Class Passenger,4133,Southampton,,
,,,£25 9s 4d,,,
"LEFEBVRE, Mr Paul Georges",35,Victualling Crew,,Southampton,Saloon Steward,[211]
"LEFEBVRE, Miss Jeannie",8,3rd Class Passenger,4133,Southampton,,
,,,£25 9s 4d,,,
"LEFEBVRE, Mrs Frances Marie",40,3rd Class Passenger,4133,Southampton,,
,,,£25 9s 4d,,,
"LEFEBVRE, Miss Mathilde",12,3rd Class Passenger,4133,Southampton,,
,,,£25 9s 4d,,,
"LEFEBVRE, Master Henry",5,3rd Class Passenger,4133,Southampton,,
,,,£25 9s 4d,,,
"LEINONEN, Mr Antti Gustaf",32,3rd Class Passenger,3101292,Southampton,,
,,,£7 18s 6d,,,
"LENNON, Mr Denis",20,3rd Class Passenger,370371,Queenstown,General Labourer,
,,,£15 10s,,,
"LEONARD, Mr Matthew",25,Victualling Crew,,Belfast,3rd Class Steward,
"LESTER, Mr James",41,3rd Class Passenger,48871,Southampton,Dipper,
,,,£24 3s,,,
"LEVETT, Mr George Alfred",26,Victualling Crew,,Belfast,Assistant Pantryman Steward (1st Class),
"LÉVY, Mr René Jacques",36,2nd Class Passenger,2163,Southampton,Chemist,
,,,£12 17s 6d,,,
"LEWY, Mr Ervin G.",30,1st Class Passenger,17612,Cherbourg,Jeweller,
,,,£27 14s 5d,,,
"LEYSON, Mr Robert William Norman",25,2nd Class Passenger,29566,Southampton,Solicitor,[108]
,,,£10 10s,,,
"LIEVENS, Mr René Aimé",24,3rd Class Passenger,345781,Southampton,Farmer,
,,,£9 10s,,,
"LIGHT, Mr Charles Edward",24,Victualling Crew,,Southampton,Plate Steward (1st class),
"LIGHT, Mr Christopher William",20,Engineering Crew,,Southampton,Fireman,
"LIGHT, Mr W.",47,Engineering Crew,,Southampton,Fireman,
"LIND, Mr Erik Gustaf",42,1st Class Passenger,17475,Southampton,Businessman,
,,,£26 11s,,,
"LINDAHL, Miss Agda Thorilda Viktoria",25,3rd Class Passenger,347071,Southampton,,
,,,£7 15s 6d,,,
"LINDBLOM, Miss Augusta Charlotta",45,3rd Class Passenger,347073,Southampton,,
,,,£7 15s,,,
"LINDELL, Mr Edvard Bengtsson",36,3rd Class Passenger,349910,Southampton,General Labourer,A
,,,£15 11s,,,
"LINDELL, Mrs Elin Gerda",30,3rd Class Passenger,349910,Southampton,,A
,,,£15 11s,,,
"LINEHAN, Mr Michael",21,3rd Class Passenger,330971,Queenstown,Farm Labourer,
,,,£7 17s 7d,,,
"LING, Mr Lee",28,3rd Class Passenger,1601,Southampton,Seaman,
,,,£56 9s 11d,,,
"LINGANE, Mr John",61,2nd Class Passenger,235509,Queenstown,Gentleman,
,,,£12 7s,,,
"LINHART, Mr Wenzel",28,3rd Class Passenger,345775,Southampton,Baker,[298]
,,,£9 10s,,,
"LIVSHIN, Mr David",25,3rd Class Passenger,374887,Southampton,Jeweller,B
,,,£7 5s,,,
"LLOYD, Mr Humphrey",41,Victualling Crew,,Belfast,Saloon Steward (1st class),[57]
"LLOYD, Mr William",29,Engineering Crew,,Southampton,Fireman,
,,Substitute Crew,,,,
